Variable,Valor,Iteracion,time_connect,time_appconnect,handshake_ms,time_total,http_code,status
Latencia,300,21,0.312697,0.656324,343.627,1.67004,200,OK
Latencia,300,22,0.322877,0.6694,346.523,1.664681,200,OK
Latencia,300,23,0.318651,0.672096,353.445,1.6743,200,OK
Latencia,300,24,0.337888,0.685305,347.417,1.688636,200,OK
Latencia,300,25,0.340228,0.685341,345.113,1.69364,200,OK
Latencia,300,26,0.319836,0.672618,352.782,1.680993,200,OK
Latencia,300,27,0.324878,0.664381,339.503,1.654263,200,OK
Latencia,300,28,0.313034,0.659188,346.154,1.325151,302,OK
Latencia,300,29,0.316276,0.66064,344.364,1.661511,200,OK
Latencia,300,30,0.325304,0.681894,356.59,1.681318,200,OK
Latencia,300,31,0.321163,0.673313,352.15,1.531364,302,OK
Latencia,300,32,0.314558,0.664407,349.849,1.357772,302,OK
Latencia,300,33,0.34067,0.69118,350.51,1.548318,302,OK
Latencia,300,34,0.322922,0.67307,350.148,1.543056,302,OK
Latencia,300,35,0.325251,0.677369,352.118,1.376887,302,OK
Latencia,300,36,0.318617,0.666193,347.576,1.311923,302,OK
Latencia,300,37,0.318851,0.665966,347.115,1.281041,302,OK
Latencia,300,38,0.322813,0.674112,351.299,1.356826,302,OK
Latencia,300,39,0.328887,0.691921,363.034,1.597879,302,OK
Latencia,300,40,0.314924,0.667342,352.418,1.261405,302,OK
Latencia,300,41,0.324798,0.670599,345.801,1.371554,302,OK
Latencia,300,42,0.313771,0.658224,344.453,1.281996,302,OK
Latencia,300,43,0.314908,0.66599,351.082,1.434517,302,OK
Latencia,300,44,0.320281,0.674554,354.273,1.292359,302,OK
Latencia,300,45,0.315623,0.661107,345.484,1.307887,302,OK
Latencia,300,46,0.316253,0.663694,347.441,1.572481,302,OK
Latencia,300,47,0.31512,0.663852,348.732,1.51871,302,OK
Latencia,300,48,0.318603,0.66614,347.537,1.375259,302,OK
Latencia,300,49,0.321288,0.671192,349.904,1.284868,302,OK
Latencia,300,50,0.320141,0.673685,353.544,1.608738,302,OK
Perdida,0,1,0.012461,0.051122,38.661,0.383223,302,OK
Perdida,0,2,0.013797,0.05468,40.883,0.707917,302,OK
Perdida,0,3,0.013655,0.05627,42.615,0.537842,302,OK
Perdida,0,4,0.032563,0.079987,47.424,0.61409,302,OK
Perdida,0,5,0.019798,0.062839,43.041,0.431105,302,OK
Perdida,0,6,0.013889,0.059088,45.199,0.49872,302,OK
Perdida,0,7,0.01414,0.057103,42.963,0.501165,302,OK
Perdida,0,8,0.014253,0.057006,42.753,0.406582,302,OK
Perdida,0,9,0.016844,0.060358,43.514,0.498227,302,OK
Perdida,0,10,0.024795,0.093229,68.434,0.608602,302,OK
Perdida,0,11,0.031379,0.093468,62.089,0.614229,302,OK
Perdida,0,12,0.04049,0.080897,40.407,0.570535,302,OK
Perdida,0,13,0.023239,0.066954,43.715,0.603981,302,OK
Perdida,0,14,0.015073,0.059584,44.511,0.423362,302,OK
Perdida,0,15,0.030408,0.07445,44.042,0.4114,302,OK
Perdida,0,16,0.01884,0.063824,44.984,0.454856,302,OK
Perdida,0,17,0.014015,0.064791,50.776,0.397468,302,OK
Perdida,0,18,0.013831,0.056623,42.792,0.405372,302,OK
Perdida,0,19,0.014599,0.059531,44.932,0.462144,302,OK
Perdida,0,20,0.015236,0.058711,43.475,0.529059,302,OK
Perdida,0,21,0.014676,0.057769,43.093,0.502205,302,OK
Perdida,0,22,0.012417,0.054502,42.085,0.60545,302,OK
Perdida,0,23,0.021886,0.064745,42.859,0.498853,302,OK
Perdida,0,24,0.013463,0.055485,42.022,0.607791,302,OK
Perdida,0,25,0.014336,0.064043,49.707,0.401028,302,OK
Perdida,0,26,0.013906,0.057678,43.772,0.711568,302,OK
Perdida,0,27,0.015133,0.055713,40.58,0.499148,302,OK
Perdida,0,28,0.024059,0.074846,50.787,0.477788,302,OK
Perdida,0,29,0.014107,0.055064,40.957,0.496969,302,OK
Perdida,0,30,0.01413,0.057666,43.536,0.452521,302,OK
Perdida,0,31,0.021074,0.063172,42.098,0.42972,302,OK
Perdida,0,32,0.016196,0.068045,51.849,0.500083,302,OK
Perdida,0,33,0.013829,0.055522,41.693,0.581064,302,OK
Perdida,0,34,0.020764,0.068733,47.969,0.521165,302,OK
Perdida,0,35,0.023387,0.072611,49.224,0.455979,302,OK
Perdida,0,36,0.014,0.060129,46.129,0.486461,302,OK
Perdida,0,37,0.019683,0.067144,47.461,0.393914,302,OK
Perdida,0,38,0.013233,0.060331,47.098,0.402745,302,OK
Perdida,0,39,0.042196,0.089525,47.329,0.473207,302,OK
Perdida,0,40,0.021195,0.069916,48.721,0.437401,302,OK
Perdida,0,41,0.022313,0.067584,45.271,0.396567,302,OK
Perdida,0,42,0.027952,0.072823,44.871,0.492272,302,OK
Perdida,0,43,0.02474,0.06579,41.05,0.528348,302,OK
Perdida,0,44,0.067608,0.124424,56.816,0.461406,302,OK
Perdida,0,45,0.024035,0.06864,44.605,0.604028,302,OK
Perdida,0,46,0.025583,0.073936,48.353,0.477623,302,OK
Perdida,0,47,0.018588,0.06184,43.252,0.44926,302,OK
Perdida,0,48,0.019394,0.065987,46.593,0.616015,302,OK
Perdida,0,49,0.053832,0.11311,59.278,0.425425,302,OK
Perdida,0,50,0.017654,0.06322,45.566,0.52589,302,OK
Perdida,1,1,0.016234,0.059143,42.909,0.582799,302,OK
Perdida,1,2,0.014322,0.065833,51.511,0.438514,302,OK
Perdida,1,3,0.053615,0.105442,51.827,0.448209,302,OK
Perdida,1,4,0.030838,0.072336,41.498,0.461571,302,OK
Perdida,1,5,0.017989,0.061386,43.397,0.364984,302,OK
Perdida,1,6,0.02099,0.068549,47.559,0.598262,302,OK
Perdida,1,7,0.026181,0.07234,46.159,0.3759,302,OK
Perdida,1,8,0.017662,0.062354,44.692,0.318626,302,OK
Perdida,1,9,0.027004,0.072077,45.073,0.662623,302,OK
Perdida,1,10,0.021768,0.066184,44.416,0.725403,302,OK
Perdida,1,11,0.018383,0.059473,41.09,0.358836,302,OK
Perdida,1,12,0.025177,0.072601,47.424,0.357886,302,OK
Perdida,1,13,0.058595,0.107409,48.814,0.392283,302,OK
Perdida,1,14,0.020738,0.065957,45.219,0.36261,302,OK
Perdida,1,15,0.03622,0.09462,58.4,0.641826,302,OK
Perdida,1,16,0.015368,0.07018,54.812,0.584176,302,OK
Perdida,1,17,0.043291,0.084119,40.828,0.410169,302,OK
