Variable,Valor,Iteracion,time_connect,time_appconnect,handshake_ms,time_total,http_code,status
Latencia,300,44,0.613687,1.268755,655.068,2.376906,200,OK
Latencia,300,45,0.625172,1.279281,654.109,2.302651,200,OK
Latencia,300,46,0.612396,1.268562,656.166,2.412165,200,OK
Latencia,300,47,0.61298,1.265309,652.329,2.379163,200,OK
Latencia,300,48,0.614962,1.268736,653.774,2.393629,200,OK
Latencia,300,49,0.612898,1.264496,651.598,2.407281,200,OK
Latencia,300,50,0.615831,1.267941,652.11,2.378037,200,OK
Perdida,0,1,0.017526,0.073583,56.057,0.298504,200,OK
Perdida,0,2,0.01538,0.077208,61.828,0.344929,200,OK
Perdida,0,3,0.019722,0.072777,53.055,0.315405,200,OK
Perdida,0,4,0.011125,0.062399,51.274,0.279222,200,OK
Perdida,0,5,0.012278,0.064884,52.606,0.29439,200,OK
Perdida,0,6,0.014356,0.071851,57.495,0.300477,200,OK
Perdida,0,7,0.011289,0.089893,78.604,0.218215,200,OK
Perdida,0,8,0.011521,0.062579,51.058,0.278716,200,OK
Perdida,0,9,0.014165,0.065434,51.269,0.311749,200,OK
Perdida,0,10,0.012054,0.06476,52.706,0.19146,200,OK
Perdida,0,11,0.017172,0.071484,54.312,0.322302,200,OK
Perdida,0,12,0.012092,0.067107,55.015,0.315378,200,OK
Perdida,0,13,0.012018,0.065631,53.613,0.333719,200,OK
Perdida,0,14,0.01385,0.066647,52.797,0.210953,200,OK
Perdida,0,15,0.011717,0.064301,52.584,0.294972,200,OK
Perdida,0,16,0.018925,0.093862,74.937,0.342603,200,OK
Perdida,0,17,0.011639,0.06372,52.081,0.199926,200,OK
Perdida,0,18,0.013067,0.067088,54.021,0.316752,200,OK
Perdida,0,19,0.012789,0.074703,61.914,0.208804,200,OK
Perdida,0,20,0.012743,0.067357,54.614,0.296637,200,OK
Perdida,0,21,0.012902,0.072621,59.719,0.312269,200,OK
Perdida,0,22,0.012139,0.067111,54.972,0.310375,200,OK
Perdida,0,23,0.012453,0.065923,53.47,0.305985,200,OK
Perdida,0,24,0.013388,0.066276,52.888,0.321255,200,OK
Perdida,0,25,0.012728,0.064735,52.007,0.310669,200,OK
Perdida,0,26,0.011864,0.072311,60.447,0.341793,200,OK
Perdida,0,27,0.012552,0.078302,65.75,0.304806,200,OK
Perdida,0,28,0.012016,0.069431,57.415,0.305973,200,OK
Perdida,0,29,0.013904,0.065472,51.568,0.328246,200,OK
Perdida,0,30,0.019183,0.114727,95.544,0.380422,200,OK
Perdida,0,31,0.014333,0.072532,58.199,0.338662,200,OK
Perdida,0,32,0.01263,0.068799,56.169,0.220056,200,OK
Perdida,0,33,0.011884,0.081847,69.963,0.303848,200,OK
Perdida,0,34,0.013141,0.065319,52.178,0.314817,200,OK
Perdida,0,35,0.014387,0.07273,58.343,0.328172,200,OK
Perdida,0,36,0.013411,0.076557,63.146,0.237503,200,OK
Perdida,0,37,0.01233,0.064632,52.302,0.274089,200,OK
Perdida,0,38,0.013221,0.092298,79.077,0.35852,200,OK
Perdida,0,39,0.012222,0.067098,54.876,0.321522,200,OK
Perdida,0,40,0.021703,0.101403,79.7,0.22411,200,OK
Perdida,0,41,0.011434,0.062296,50.862,0.285688,200,OK
Perdida,0,42,0.020386,0.075774,55.388,0.338632,200,OK
Perdida,0,43,0.011816,0.06293,51.114,0.800654,200,OK
Perdida,0,44,0.011601,0.066543,54.942,0.282062,200,OK
Perdida,0,45,0.012772,0.071546,58.774,0.321657,200,OK
Perdida,0,46,0.012057,0.063099,51.042,0.295825,200,OK
Perdida,0,47,0.011513,0.063763,52.25,0.196844,200,OK
Perdida,0,48,0.03139,0.090822,59.432,0.353437,200,OK
Perdida,0,49,0.012213,0.063858,51.645,0.324018,200,OK
Perdida,0,50,0.035037,0.16939,134.353,0.476719,200,OK
Perdida,1,1,0.03509,0.122772,87.682,0.409086,200,OK
Perdida,1,2,0.024817,0.08582,61.003,0.373479,200,OK
Perdida,1,3,,,,,000,ERROR
Perdida,1,4,0.012931,0.065415,52.484,0.290154,200,OK
Perdida,1,5,0.012289,0.069201,56.912,0.310479,200,OK
Perdida,1,6,0.012916,0.065886,52.97,0.316102,200,OK
Perdida,1,7,0.013441,0.080024,66.583,0.307863,200,OK
Perdida,1,8,0.013225,0.065416,52.191,0.322941,200,OK
Perdida,1,9,0.012002,0.064846,52.844,0.310738,200,OK
Perdida,1,10,0.011735,0.064183,52.448,0.318005,200,OK
Perdida,1,11,0.011821,0.063885,52.064,0.286717,200,OK
Perdida,1,12,0.015989,0.071102,55.113,0.319061,200,OK
Perdida,1,13,0.012718,0.064765,52.047,0.330328,200,OK
Perdida,1,14,0.012198,0.066811,54.613,0.299684,200,OK
Perdida,1,15,0.012023,0.064345,52.322,0.335543,200,OK
Perdida,1,16,0.012579,0.067139,54.56,0.30439,200,OK
Perdida,1,17,0.0126,0.06492,52.32,0.284052,200,OK
Perdida,1,18,0.01256,0.066175,53.615,0.288463,200,OK
Perdida,1,19,0.013172,0.065685,52.513,0.29848,200,OK
Perdida,1,20,0.012512,0.064647,52.135,0.330628,200,OK
Perdida,1,21,0.011795,0.063478,51.683,0.310994,200,OK
Perdida,1,22,0.011535,0.065208,53.673,0.195573,200,OK
Perdida,1,23,0.012961,0.067778,54.817,0.315568,200,OK
Perdida,1,24,0.012233,0.063433,51.2,0.285668,200,OK
Perdida,1,25,0.011934,0.068587,56.653,0.324193,200,OK
Perdida,1,26,0.017372,0.081361,63.989,0.332106,200,OK
Perdida,1,27,0.012741,0.066043,53.302,0.294264,200,OK
Perdida,1,28,0.012318,0.064808,52.49,0.276395,200,OK
Perdida,1,29,,,,,000,ERROR
Perdida,1,30,0.021537,0.078119,56.582,0.309471,200,OK
Perdida,1,31,0.012585,0.069801,57.216,0.313259,200,OK
Perdida,1,32,0.011482,0.069681,58.199,0.290463,200,OK
Perdida,1,33,0.013114,0.065253,52.139,0.21805,200,OK
Perdida,1,34,0.013485,0.091061,77.576,0.314215,200,OK
Perdida,1,35,0.015837,0.068658,52.821,0.188851,200,OK
Perdida,1,36,0.01361,0.069602,55.992,0.206769,200,OK
Perdida,1,37,0.012312,0.073084,60.772,0.324533,200,OK
Perdida,1,38,0.014409,0.070394,55.985,0.232999,200,OK
Perdida,1,39,0.018955,0.083836,64.881,0.362616,200,OK
Perdida,1,40,0.011616,0.065402,53.786,0.275426,200,OK
Perdida,1,41,0.012244,0.115027,102.783,0.373169,200,OK
Perdida,1,42,0.012437,0.06364,51.203,0.203769,200,OK
Perdida,1,43,0.01308,0.06931,56.23,0.189643,200,OK
Perdida,1,44,0.012645,0.065859,53.214,0.338625,200,OK
Perdida,1,45,1.038629,1.090634,52.005,1.335581,200,OK
